County,MedianIncome
Adams,58406.16127
Asotin,59674.53855
Benton,78823.97566
Chelan,68015.63059
Clallam,65652.25795
Clark,87397.38256
Columbia,61115.12367
Cowlitz,76364.19995
Douglas,65096.41527
Ferry,53577.36945
Franklin,85876.76529
Garfield,66082.80797
Grant,65593.24437
Grays Harbor,56019.91938
Island,76493.72365
Jefferson,63640.632
King,118664.4241
Kitsap,91736.70491
Kittitas,60777.16936
Klickitat,65895.63929
Lewis,67909.7623
Lincoln,68236.07357
Mason,77936.37204
Okanogan,57422.27042
Pacific,60936.11799
Pend Oreille,52988.94637
Pierce,91092.3035
San Juan,68932.36129
Skagit,67315.8527
Skamania,82461.93434
Snohomish,106103.5218
Spokane,70684.99254
Stevens,63240.81498
Thurston,83358.49686
Wahkiakum,67570.48791
Walla Walla,66071.11765
Whatcom,73038.10682
Whitman,54236.15411
Yakima,64006.58996
